Subfolder,Image1,Image2,Matches_num,Good_matches_num,Good_matches_ransac_num,X_hist
"20231018_Ponder_9A_5,10",P1130677.JPG,P1130678.JPG,14358,2139,1412,"[0, 3, 18, 18, 13, 28, 39, 37, 45, 49, 45, 52, 64, 54, 63, 39, 15, 28, 34, 41, 27, 32, 30, 35, 28, 17, 22, 23, 20, 63, 45, 44, 62, 38, 45, 60, 28, 47, 42, 10, 7, 2]"
"20231018_Ponder_9A_5,10",P1130678.JPG,P1130679.JPG,14343,1285,998,"[0, 16, 36, 38, 41, 48, 45, 60, 22, 29, 21, 39, 22, 21, 26, 26, 25, 23, 31, 29, 28, 27, 21, 19, 9, 8, 10, 19, 15, 22, 34, 36, 39, 32, 31, 5, 1, 10, 22, 12, 0, 0]"
"20231018_Ponder_9A_5,10",P1130679.JPG,P1130680.JPG,14807,442,207,"[0, 4, 15, 12, 14, 12, 21, 19, 4, 8, 2, 0, 0, 2, 2, 9, 8, 5, 4, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 3, 1, 0, 0, 0, 0, 0, 12, 31, 11, 0]"
"20231018_Ponder_9A_5,10",P1130680.JPG,P1130681.JPG,15644,383,206,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 1, 3, 0, 0, 0, 0, 1, 6, 22, 18, 33, 30, 18, 43, 25, 0, 0]"
"20231018_Ponder_9A_5,10",P1130681.JPG,P1130682.JPG,17376,432,266,"[0, 2, 2, 9, 14, 5, 4, 0, 3, 2, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 10, 30, 33, 22, 53, 34, 25, 5, 0, 0]"
"20231018_Ponder_9A_5,10",P1130682.JPG,P1130683.JPG,18100,410,221,"[0, 1, 2, 0, 0, 8, 8, 9, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31, 32, 23, 57, 31, 0, 0]"
"20231018_Ponder_9A_5,10",P1130683.JPG,P1130684.JPG,16856,360,176,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 0, 0, 0, 0, 0, 2, 5, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 32, 26, 32, 21, 25, 0]"
"20231018_Ponder_9A_5,10",P1130684.JPG,P1130685.JPG,18102,445,211,"[0, 0, 0, 0, 0, 0, 0, 6, 14, 7, 6, 2, 0, 1, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 37, 28, 26, 25, 23, 18, 0]"
"20231018_Ponder_9A_5,10",P1130685.JPG,P1130686.JPG,16631,398,224,"[0, 0, 0, 0, 0, 1, 9, 11, 5, 10, 4, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 40, 45, 23, 21, 14, 0]"
"20231018_Ponder_9A_5,10",P1130686.JPG,P1130687.JPG,16492,499,277,"[0, 0, 0, 3, 12, 16, 4, 7, 6, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 23, 31, 64, 28, 45, 5, 0]"
"20231018_Ponder_9A_5,10",P1130687.JPG,P1130688.JPG,16769,460,197,"[0, 0, 0, 0, 1, 4, 9, 14, 10, 8, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 38, 46, 24, 1, 0, 0]"
"20231018_Ponder_9A_5,11",P1130479.JPG,P1130480.JPG,15370,1588,1130,"[18, 47, 40, 39, 51, 36, 40, 40, 38, 35, 38, 36, 33, 41, 36, 38, 31, 32, 23, 34, 41, 28, 26, 34, 32, 32, 31, 28, 18, 16, 19, 14, 29, 22, 10, 12, 7, 3, 2, 0, 0, 0]"
"20231018_Ponder_9A_5,11",P1130480.JPG,P1130481.JPG,16057,661,359,"[0, 6, 8, 6, 4, 9, 7, 11, 5, 4, 0, 0, 0, 0, 1, 3, 3, 7, 8, 11, 13, 9, 12, 9, 8, 13, 8, 5, 6, 2, 7, 7, 15, 19, 22, 14, 30, 22, 30, 15, 0, 0]"
"20231018_Ponder_9A_5,11",P1130481.JPG,P1130482.JPG,16825,406,223,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 0, 3, 4, 5, 21, 12, 6, 6, 0, 0, 1, 1, 7, 11, 2, 2, 14, 25, 28, 34, 22, 11, 2]"
"20231018_Ponder_9A_5,11",P1130482.JPG,P1130483.JPG,18023,404,178,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 2, 1, 2, 2, 2, 6, 9, 18, 9, 4, 4, 0, 5, 1, 7, 5, 2, 2, 16, 19, 18, 30, 8, 0, 0]"
"20231018_Ponder_9A_5,11",P1130483.JPG,P1130484.JPG,17996,497,219,"[0, 0, 0, 0, 1, 4, 8, 17, 12, 4, 2, 3, 2, 0, 0, 0, 1, 1, 3, 3, 0, 0, 0, 3, 6, 4, 5, 2, 0, 2, 2, 5, 8, 3, 2, 10, 23, 33, 30, 17, 3, 0]"
"20231018_Ponder_9A_5,11",P1130484.JPG,P1130485.JPG,18555,432,204,"[0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 3, 17, 11, 9, 7, 1, 2, 6, 10, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 15, 26, 28, 33, 21, 3, 0]"
"20231018_Ponder_9A_5,11",P1130485.JPG,P1130486.JPG,18594,371,172,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46, 31, 24, 30, 28, 2, 0]"
"20231018_Ponder_9A_5,11",P1130486.JPG,P1130487.JPG,18315,393,197,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 42, 44, 31, 28, 26, 9, 0]"
"20231018_Ponder_9A_5,11",P1130487.JPG,P1130488.JPG,19146,459,247,"[0, 0, 0, 1, 0, 0, 1, 2, 1, 3, 10, 10, 17, 9, 5, 5, 0, 0, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 47, 31, 15, 4, 0, 0]"
"20231018_Ponder_9A_5,11",P1130488.JPG,P1130489.JPG,18871,400,195,"[0, 0, 0, 0, 0, 0, 1, 0, 4, 15, 4, 6, 16, 12, 10, 2, 0, 2, 0, 1, 2, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 28, 26, 20, 9, 0]"
"20231018_Ponder_9A_5,11",P1130489.JPG,P1130490.JPG,18817,314,151,"[0, 0, 0, 0, 0, 1, 1, 5, 8, 5, 13, 14, 2, 4, 1, 0, 1, 0, 0, 0, 0, 3, 4, 6, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 15, 33, 19, 2, 0, 0]"
"20231018_Ponder_9A_5,13",P1120978.JPG,P1120979.JPG,12325,915,563,"[0, 10, 20, 19, 27, 17, 13, 35, 20, 20, 28, 21, 21, 25, 24, 15, 19, 23, 13, 16, 26, 21, 23, 12, 13, 10, 8, 10, 10, 7, 5, 6, 6, 10, 3, 2, 2, 1, 1, 1, 0, 0]"
"20231018_Ponder_9A_5,13",P1120979.JPG,P1120980.JPG,13471,1150,687,"[0, 13, 10, 13, 8, 11, 18, 29, 23, 30, 40, 25, 41, 33, 46, 37, 40, 39, 49, 42, 32, 19, 18, 15, 11, 11, 5, 6, 8, 4, 5, 4, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"20231018_Ponder_9A_5,13",P1120980.JPG,P1120981.JPG,15291,310,102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9, 6, 14, 12, 9, 3, 5, 4, 1, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 12, 5, 5, 0, 0]"
"20231018_Ponder_9A_5,13",P1120981.JPG,P1120982.JPG,17166,246,108,"[0, 0, 0, 0, 0, 1, 7, 0, 5, 3, 2, 4, 3, 3, 9, 0, 0, 0, 1, 2, 6, 8, 1, 3, 4, 2, 5, 6, 4, 0, 0, 0, 0, 0, 0, 1, 9, 9, 7, 3, 0, 0]"
"20231018_Ponder_9A_5,13",P1120982.JPG,P1120983.JPG,18882,264,127,"[0, 0, 0, 0, 0, 0, 1, 3, 4, 6, 3, 9, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 1, 1, 2, 1, 0, 4, 4, 3, 11, 10, 16, 10, 14, 7, 3, 0, 0, 0]"
"20231018_Ponder_9A_5,13",P1120983.JPG,P1120984.JPG,18916,378,226,"[0, 2, 2, 2, 2, 7, 5, 5, 4, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 40, 29, 25, 36, 16, 17, 9, 10, 0]"
"20231018_Ponder_9A_5,13",P1120984.JPG,P1120985.JPG,18774,483,275,"[0, 1, 1, 1, 4, 4, 1, 2, 0, 1, 1, 0, 2, 1, 5, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 62, 31, 27, 33, 26, 12, 19, 8, 0]"
"20231018_Ponder_9A_5,13",P1120985.JPG,P1120986.JPG,18154,419,255,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60, 35, 21, 22, 42, 25, 11, 10, 0]"
"20231018_Ponder_9A_5,13",P1120986.JPG,P1120987.JPG,17952,404,215,"[0, 0, 4, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 2, 5, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 14, 33, 46, 26, 20, 15, 12, 13, 0, 0]"
"20231018_Ponder_9A_5,13",P1120987.JPG,P1120988.JPG,17809,273,137,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 5, 2, 0, 5, 1, 2, 0, 0, 0, 0, 0, 0, 6, 5, 20, 19, 27, 21, 12, 5, 0, 0]"
"20231018_Ponder_9A_5,13",P1120988.JPG,P1120989.JPG,18025,239,84,"[0, 3, 5, 8, 7, 8, 7, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 9, 1, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 0, 0]"
"20231018_Ponder_9A_5,5",P1140756.JPG,P1140757.JPG,15986,2068,1317,"[0, 0, 0, 2, 9, 26, 19, 25, 29, 23, 47, 43, 41, 46, 44, 55, 58, 47, 34, 29, 36, 46, 44, 33, 31, 29, 38, 43, 47, 43, 31, 27, 28, 45, 18, 28, 32, 39, 51, 44, 7, 0]"
"20231018_Ponder_9A_5,5",P1140757.JPG,P1140758.JPG,16141,1585,974,"[0, 4, 20, 11, 18, 13, 9, 28, 26, 44, 47, 30, 27, 29, 21, 22, 22, 42, 44, 40, 32, 28, 32, 24, 11, 21, 28, 15, 16, 9, 9, 10, 11, 11, 14, 10, 29, 21, 27, 59, 56, 4]"
"20231018_Ponder_9A_5,5",P1140758.JPG,P1140759.JPG,16626,554,275,"[5, 11, 26, 17, 18, 19, 18, 16, 21, 23, 18, 12, 1, 1, 0, 0, 6, 12, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 28, 0, 0]"
"20231018_Ponder_9A_5,5",P1140759.JPG,P1140760.JPG,18695,390,230,"[14, 41, 49, 36, 26, 19, 15, 2, 4, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 8, 4, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"20231018_Ponder_9A_5,5",P1140760.JPG,P1140761.JPG,19320,510,287,"[0, 17, 35, 36, 38, 18, 10, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 10, 25, 38, 40, 8, 0]"
"20231018_Ponder_9A_5,5",P1140761.JPG,P1140762.JPG,19568,684,490,"[2, 30, 45, 38, 50, 45, 36, 20, 5, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 28, 50, 61, 53, 10, 0]"
"20231018_Ponder_9A_5,5",P1140762.JPG,P1140763.JPG,19153,624,386,"[0, 17, 44, 53, 42, 24, 22, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 41, 68, 53, 5, 0]"
"20231018_Ponder_9A_5,5",P1140763.JPG,P1140764.JPG,18530,573,345,"[1, 25, 33, 57, 44, 34, 18, 11, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 44, 57, 7, 0]"
"20231018_Ponder_9A_5,5",P1140764.JPG,P1140765.JPG,18632,634,375,"[21, 45, 38, 55, 49, 36, 20, 22, 12, 3, 4, 2, 1, 1, 0, 6, 8, 3, 5, 2, 0, 0, 1, 1, 2, 1, 1, 4, 8, 3, 2, 2, 3, 7, 2, 2, 3, 0, 0, 0, 0, 0]"
"20231018_Ponder_9A_5,5",P1140765.JPG,P1140766.JPG,19353,683,427,"[12, 44, 39, 57, 69, 46, 38, 21, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 53, 11, 0]"
"20231018_Ponder_9A_5,5",P1140766.JPG,P1140767.JPG,19275,576,345,"[17, 55, 41, 45, 45, 45, 43, 12, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 5, 3, 11, 4, 7, 1, 0, 0, 0, 0, 0, 0, 0]"
"20231018_Ponder_9A_5,8",P1140112.JPG,P1140113.JPG,15081,2144,1664,"[21, 54, 39, 40, 34, 14, 31, 47, 68, 74, 64, 56, 25, 31, 56, 52, 36, 41, 30, 12, 43, 48, 52, 58, 55, 32, 62, 42, 40, 39, 29, 18, 31, 41, 51, 50, 48, 22, 16, 20, 37, 5]"
