Name1,Mean_Yield,Std_Yield,Mean_Prediction_yield,Std_Prediction,Rank_Yield,Rank_Prediction,Relative_Rank_Accuracy
Georgia-12Y,5164 ± 797,797.9460687110555,4666 ± 382,382.68760837006477,1.0,3.0,0.8888888888888888
GA-17SP-RKNS-52S,4951 ± 400,400.2865640179962,4761 ± 246,246.79698323385813,2.0,2.0,0.8888888888888888
GA-17SP-RKNR-16R,4733 ± 320,320.818224752481,4967 ± 232,232.41101981905487,3.0,1.0,0.8888888888888888
GA-17SP-RKNS-21S,4684 ± 394,394.66568130507625,4481 ± 258,258.64503964571486,4.0,7.0,0.8333333333333334
GA-17SP-RKNR-34R,4625 ± 489,489.9738088238322,4528 ± 640,640.2730884031703,5.0,5.0,0.8888888888888888
Georgia-17SP,4557 ± 696,696.9779408273979,4416 ± 331,331.61284735868315,6.0,10.0,0.7777777777777778
GA-17SP-RKNS-37S,4491 ± 425,425.83369210682866,4437 ± 434,434.44391920400176,7.0,9.0,0.7777777777777778
GA-17SP-RKNR-12R,4470 ± 92,92.5648421378225,4461 ± 250,250.30867237606196,8.0,8.0,0.7777777777777778
GA-17SP-RKNR-45R,4444 ± 503,503.6192344751474,4595 ± 563,563.4869041956522,9.0,4.0,0.7222222222222222
Georgia-10T,4435 ± 707,707.5305142334347,4360 ± 522,522.910042741579,10.0,12.0,0.8888888888888888
GA-17SP-RKNS-68S,4358 ± 421,421.55229015311187,4400 ± 398,398.67293729739566,11.0,11.0,0.8888888888888888
GA-17SP-RKNR-43R,4256 ± 254,254.55844122715712,4527 ± 187,187.69442399815753,12.0,6.0,0.6666666666666666
Georgia-13M,4231 ± 768,768.8278957824914,4133 ± 134,134.55546563901962,13.0,14.0,0.9444444444444444
Georgia-07W,4218 ± 480,480.0336793739929,3897 ± 416,416.9666640552137,14.0,15.0,0.9444444444444444
Georgia-02C,4028 ± 417,417.31632686328805,3541 ± 205,205.63027922301077,15.0,18.0,0.8333333333333334
Georgia-18RU,3880 ± 507,507.1294706482754,3839 ± 191,191.22110009096806,16.0,17.0,0.8333333333333334
Georgia-SP/RKN,3854 ± 751,751.8320734490294,4161 ± 498,498.7013021839825,17.0,13.0,0.7777777777777778
Georgia-01R,3581 ± 397,397.4806374439604,3842 ± 469,469.93767757012193,18.0,16.0,0.8888888888888888
Georgia-14N,3394 ± 647,647.4982625459314,3504 ± 179,179.0251334310354,19.0,19.0,1.0
