Genotypes,Mean_Prediction_pod_Count,Mean_Prediction_yield,Mean_Yield (lbs/A),Rank_Prediction_yield,Rank_Yield (lbs/A)
Georgia-12Y,4149.125,4666.51,5164.75,3,1
GA-17SP-RKNS-52S,4318.333333,4761.266667,4951.333333,2,2
GA-17SP-RKNR-16R,4687.333333,4967.906667,4733.666667,1,3
GA-17SP-RKNS-21S,3818.666667,4481.453333,4684,7,4
GA-17SP-RKNR-34R,3903.333333,4528.866667,4625.666667,5,5
Georgia-17SP,3703.5,4416.96,4557.75,10,6
GA-17SP-RKNS-37S,3739.666667,4437.213333,4491.333333,9,7
GA-17SP-RKNR-12R,3782.25,4461.06,4470.25,8,8
GA-17SP-RKNR-45R,4023,4595.88,4444.333333,4,9
Georgia-10T,3603.375,4360.89,4435,12,10
GA-17SP-RKNS-68S,3674.333333,4400.626667,4358.333333,11,11
GA-17SP-RKNR-43R,3901,4527.56,4256,6,12
Georgia-13M,3196.666667,4133.133333,4231.333333,14,13
Georgia-07W,2775.333333,3897.186667,4218.333333,15,14
Georgia-02C,2140.75,3541.82,4028.75,18,15
Georgia-18RU,2672.8,3839.768,3880.4,17,16
Georgia-SP/RKN,3248,4161.88,3854.333333,13,17
Georgia-01R,2677.5,3842.4,3581,16,18
Georgia-14N,2073.75,3504.3,3394,19,19
